frame,ball_detected,interpolated,conf,x1,y1,x2,y2,cx,cy,width,height,multi_detection,shot_by,mx,my,dist_meters,speed_kmh
214,True,False,0.6381,365.39,698.66,393.42,726.45,379.4,712.55,28.03,27.79,False,1.0,0.0997,18.0506,0.0,0.0
215,True,False,0.6518,351.99,711.0,373.82,732.52,362.91,721.76,21.83,21.51,False,1.0,0.0,18.3498,0.3154,34.06
216,False,True,,336.42,720.97,356.42,740.97,346.42,730.97,20.0,20.0,False,1.0,-0.0997,18.5493,0.223,24.09
217,True,False,0.7576,313.07,734.91,334.01,756.02,323.54,745.47,20.93,21.11,False,1.0,-0.1995,18.9482,0.4112,44.41
218,True,False,0.7213,289.82,747.5,314.94,772.38,302.38,759.94,25.11,24.87,False,1.0,-0.2992,19.3471,0.4112,44.41
219,True,False,0.7521,247.48,784.96,270.41,808.32,258.94,796.64,22.92,23.36,False,1.0,-0.4986,20.2446,0.9194,99.29
220,True,False,0.7521,247.49,784.95,270.41,808.31,258.95,796.63,22.92,23.36,False,1.0,-0.4986,20.2446,0.0,0.0
221,True,False,0.655,223.62,802.01,251.43,831.11,237.53,816.56,27.82,29.1,False,1.0,-0.5984,20.7433,0.5086,54.93
222,True,False,0.5818,203.76,825.69,231.55,853.61,217.65,839.65,27.8,27.92,False,1.0,-0.6981,21.2419,0.5085,54.91
223,True,False,0.6548,182.63,849.42,208.88,876.32,195.76,862.87,26.25,26.9,False,1.0,-0.6981,21.7405,0.4986,53.85
224,True,False,0.749,162.19,876.64,186.19,901.49,174.19,889.07,24.0,24.85,False,1.0,-0.7978,22.3389,0.6066,65.52
